Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
942,2,3,2017,None,58.67,8.76,6456,Good,8.15,9.66,60.0,High,8.05,2.39,441173.82710408827
4150,4,3,1955,Partially,112.82,9.28,4983,Good,17.71,5.37,118.0,High,-4.92,2.11,1031463.4917370791
1678,2,3,1975,Partially,71.75,5.7,9107,Average,32.11,3.36,83.0,High,3.99,1.41,566669.4473107752
4958,3,2,1990,Fully,79.43,2.71,5496,Average,37.28,9.39,54.0,Medium,13.58,7.32,957436.4938316831
1757,3,3,1987,None,69.94,8.38,2091,Good,8.86,3.71,69.0,Medium,12.95,8.04,534563.931285762
4134,3,1,1992,Fully,81.3,5.82,4907,Good,33.55,9.15,112.0,Low,11.08,5.24,802588.987610018
2341,3,3,2002,Fully,76.41,6.37,4383,Good,9.78,8.57,94.0,Medium,-2.18,6.08,617872.1358436291
2809,5,2,1964,Fully,54.04,6.77,2107,Good,11.87,5.33,62.0,Medium,5.41,3.36,629513.4654683463
1410,4,2,2005,None,92.6,7.34,4224,Poor,27.03,6.8,186.0,High,9.38,7.43,568686.3608953591
4840,4,1,2005,Fully,62.58,9.12,8055,Average,15.17,7.03,182.0,Medium,-2.98,6.26,790502.9020981669
4509,2,3,1980,Fully,88.76,9.62,702,Good,33.42,6.45,143.0,Medium,-2.06,8.94,815790.9903878177
2669,1,3,2006,Partially,71.52,9.52,4354,Good,47.83,1.69,141.0,Low,-4.2,7.72,549444.7728750291
2672,2,1,2000,Fully,75.95,8.48,8801,Average,8.3,6.96,150.0,Low,1.46,1.17,706572.8444197912
623,2,2,1973,None,82.23,9.11,1268,Average,28.96,0.13,170.0,High,12.55,8.29,442908.29703476664
3658,2,2,2007,Partially,,2.4,638,Good,46.24,7.13,173.0,High,5.15,1.24,638106.2114012202
1285,2,3,2022,None,86.16,8.79,720,Average,9.65,5.59,117.0,Low,12.07,8.32,494953.1151517362
2916,4,3,1953,Fully,64.38,2.58,7856,Average,18.98,2.67,74.0,High,-3.33,9.89,727723.943346779
1296,1,3,1959,Fully,90.55,7.97,9552,Good,7.06,8.06,63.0,Medium,-3.88,5.33,557279.9942119919
4672,2,3,2012,None,59.54,3.35,4427,Poor,32.46,4.11,111.0,High,11.08,3.04,741649.5021425835
4654,4,3,2022,Partially,61.31,4.88,2887,,33.79,4.91,194.0,Medium,4.96,1.09,857448.3680612807
2436,2,2,1964,Fully,,3.47,3025,Excellent,33.54,0.37,166.0,High,4.42,2.35,607571.2780806618
2656,3,2,2012,Partially,90.74,5.55,5554,Good,27.56,4.07,196.0,Low,4.51,5.53,691138.2264913722
4307,2,2,1968,None,79.26,5.29,7456,Excellent,37.57,1.76,149.0,Low,2.62,8.26,795342.4445549174
1801,2,2,2012,Fully,97.38,2.38,2109,Good,2.76,2.83,115.0,Medium,12.73,8.84,597357.5237826671
4663,5,1,2005,None,62.5,8.64,5943,Average,47.92,2.6,94.0,High,5.42,7.15,731416.4313356535
3640,3,2,1970,Fully,57.52,8.83,698,Excellent,11.88,0.56,120.0,Medium,14.48,1.78,727975.6196596246
3736,1,1,1983,None,87.57,8.3,6484,Average,6.96,4.66,77.0,Medium,11.93,9.92,757664.2667592983
2852,2,2,1966,Partially,76.83,8.78,9852,Average,47.12,5.27,108.0,High,9.75,7.72,561340.3206027616
2432,1,3,1967,Fully,87.09,8.01,1869,Good,41.69,5.75,57.0,High,7.72,4.84,541166.2309500602
3221,3,3,2015,Partially,59.58,9.5,4071,Good,38.48,4.68,59.0,Low,11.7,8.32,635598.9129776784
864,2,3,2000,None,68.35,6.61,988,Good,6.13,8.71,70.0,Low,12.63,6.3,449495.88310310396
2890,5,1,2014,None,101.14,6.66,4040,Good,40.57,0.47,84.0,High,-2.34,6.43,683755.0558137407
1446,4,2,1992,Partially,71.98,8.88,9556,Excellent,30.84,6.18,53.0,High,2.19,9.74,1306422.42165335
1877,5,2,2006,Partially,96.4,4.8,2680,Excellent,36.86,8.67,134.0,Low,11.11,8.21,664467.2336787437
1939,5,1,1959,Partially,86.65,2.4,3828,Good,48.93,0.51,74.0,High,-0.57,3.36,598030.1240502893
3680,4,1,1986,Fully,70.72,8.0,4134,Excellent,10.53,5.01,69.0,Medium,6.72,2.58,768515.2083562927
840,4,1,1997,Fully,96.18,4.04,1155,Excellent,25.71,5.93,145.0,High,10.61,2.55,480401.7353305011
3489,4,1,2018,Partially,79.9,5.79,6486,Average,37.91,1.99,145.0,Low,-0.52,5.09,727915.503418385
882,2,1,2005,Partially,75.2,3.92,735,Good,22.25,2.6,176.0,Medium,3.04,4.5,396053.4035001398
2056,1,3,1985,Fully,73.8,8.62,1488,Good,3.68,7.88,71.0,Medium,13.3,5.07,590457.7619407501
799,1,2,1980,None,81.58,9.67,1882,Excellent,6.46,5.72,98.0,High,2.12,1.56,471439.9862358346
638,4,1,2004,Partially,58.08,2.44,9506,Excellent,30.5,3.23,138.0,High,7.09,2.82,384480.13730642066
858,5,3,1987,Partially,88.49,3.87,6129,,14.97,7.67,55.0,Low,3.68,8.18,593413.4464866859
2022,3,1,2022,Fully,81.62,3.52,2986,Excellent,7.75,7.49,195.0,High,12.54,7.82,621010.3124742435
3956,4,3,1964,Partially,,7.39,2165,Excellent,17.65,3.52,61.0,High,3.48,4.54,860371.6284980469
2127,5,1,1965,Partially,55.97,5.43,4486,Good,10.85,4.94,77.0,High,2.18,4.51,509359.0419780188
1803,5,2,2002,Partially,71.24,5.65,8686,Excellent,2.17,6.68,68.0,High,-1.53,8.95,541372.58156117
1634,2,1,2005,Fully,78.75,3.26,2323,,8.44,3.5,92.0,Medium,1.98,2.64,595404.1188611488
2686,2,1,1956,Partially,77.34,5.32,6328,Good,44.27,6.33,148.0,Low,8.39,4.21,658283.551028382
3670,1,2,2006,None,77.25,4.43,5930,Good,1.59,2.59,192.0,High,-1.48,7.87,794112.1679732177
4335,1,2,2004,Partially,85.11,6.89,5836,Excellent,38.92,2.99,85.0,Medium,9.11,6.17,790340.6619864777
2651,3,1,2001,Fully,57.74,3.74,4588,Poor,37.92,3.18,146.0,High,-4.79,1.54,1506634.300426489
1737,3,2,1953,None,74.02,6.92,1110,Good,28.65,9.37,134.0,Low,2.34,1.11,487243.36609560956
4235,3,2,1992,Fully,79.47,5.02,4368,Good,11.21,8.35,91.0,Medium,4.32,1.17,826973.1890091781
3334,3,3,1989,Fully,81.91,4.77,4825,Average,44.02,5.7,140.0,Low,-3.08,6.9,665108.901704771
4760,5,2,1979,Fully,88.48,4.44,4935,Average,24.28,5.68,175.0,High,8.68,6.6,929951.201373129
1498,5,2,1959,Fully,71.95,7.39,2663,Average,9.49,0.66,94.0,Low,-2.94,1.4,552183.5246307838
3067,1,1,1956,Partially,75.8,6.5,8762,Average,22.02,6.53,79.0,High,-3.2,2.19,606455.5022927155
1807,2,1,1985,Fully,63.88,8.81,2249,Good,10.55,3.35,88.0,High,2.36,7.5,501508.10825181694
1156,2,3,1984,None,80.82,3.93,5445,Good,19.42,6.16,79.0,Medium,9.77,3.79,530477.2185012554
3160,4,1,1988,Partially,61.94,2.32,5672,Average,25.34,8.42,158.0,High,14.27,9.93,680904.73118198
2711,5,2,1985,Partially,83.61,3.46,841,Average,18.64,0.55,137.0,Low,10.52,3.81,790789.0663864183
2409,3,2,1969,Partially,92.72,4.75,5183,Excellent,33.2,6.11,135.0,Medium,4.32,4.02,729910.1957385129
4230,3,2,1998,Partially,82.02,3.44,4331,Good,46.86,5.69,86.0,High,0.45,4.78,799156.6593301869
2546,4,1,2008,Partially,94.25,2.67,2879,Average,18.06,2.15,139.0,High,1.03,8.45,712584.8952306461
3662,2,2,1998,None,68.2,5.56,6605,Excellent,18.43,6.5,199.0,High,0.67,6.02,669466.8255748475
1640,3,2,1975,None,57.02,7.42,4369,Poor,37.18,5.59,146.0,Medium,0.57,8.72,509013.89458896226
766,2,3,1985,Partially,72.57,8.01,6568,,27.0,7.7,73.0,Low,-3.62,4.84,337797.38019795826
2345,4,3,1992,Partially,65.79,5.19,2939,Average,22.01,1.2,118.0,Medium,-0.59,6.47,547408.2966546773
2208,2,3,1992,None,67.6,5.82,8406,Excellent,40.88,4.49,137.0,Medium,-2.84,1.04,493959.4665795116
4130,2,1,1982,Partially,41.67,8.04,8357,Good,44.66,9.98,148.0,High,-4.85,6.18,449356.5783384926
3711,2,2,1994,Fully,77.63,4.82,5929,Excellent,29.94,6.92,171.0,Low,0.71,1.72,731119.8639946555
2793,3,2,1994,Fully,75.32,8.28,971,Good,10.07,6.87,135.0,Low,2.04,2.74,664243.534955469
4232,1,2,1964,None,87.65,9.74,8559,Good,23.85,3.25,66.0,High,13.55,9.98,791774.1208188393
4329,5,3,1966,Fully,83.3,9.04,4265,Average,25.71,1.03,61.0,Medium,14.9,6.73,914221.9652494086
2010,2,2,1961,None,72.37,5.63,8326,Good,22.18,9.5,79.0,High,6.59,8.82,478059.64169162797
975,2,2,1971,Fully,88.69,6.64,8412,Good,13.86,1.14,190.0,Low,13.02,1.52,457781.2050416207
1476,2,2,1972,Partially,88.3,7.73,9345,Excellent,24.14,9.93,55.0,High,7.36,4.46,1173389.9225138316
1707,1,2,1961,Partially,67.7,4.79,961,Average,22.88,1.35,174.0,Medium,4.95,8.76,494259.3888859022
2460,4,2,2017,Fully,77.94,8.39,1673,Good,11.27,1.79,60.0,Medium,-4.15,4.7,651230.4896089786
1057,3,1,2000,None,97.66,5.5,2167,Poor,45.27,3.15,177.0,High,-4.11,3.28,487377.90171166416
1382,1,2,1962,Partially,79.9,8.77,3821,Average,44.38,5.17,173.0,High,-4.38,5.33,405039.32002055
2694,2,1,2006,Partially,62.67,4.04,9331,Average,38.22,7.92,109.0,Medium,-2.0,5.24,550761.9543588136
3167,1,2,2004,Partially,,2.09,4869,Excellent,20.65,9.71,59.0,High,-3.46,9.92,582498.2765021081
2110,1,1,1977,Fully,52.93,7.06,9173,Average,19.15,3.65,65.0,Medium,-1.11,4.19,380889.48149696516
3988,1,2,1993,Partially,44.28,5.62,8773,Excellent,36.11,0.3,133.0,Medium,5.38,9.62,617856.3870454843
2954,4,2,1968,Fully,67.74,2.48,4626,Good,30.8,6.21,196.0,Medium,5.06,9.21,706032.5181113419
4994,5,2,1995,Partially,72.38,5.9,3293,,30.43,7.14,149.0,High,1.88,5.05,889148.5052323735
2446,3,2,1952,None,60.36,3.35,9799,Good,7.08,4.03,64.0,High,8.32,9.5,580433.1875313481
3308,4,3,1969,Partially,64.74,7.04,6685,Excellent,31.3,1.92,134.0,Medium,2.84,7.56,713737.3058054561
4325,4,2,1974,None,60.69,5.56,4285,Good,45.19,3.13,88.0,High,-0.6,8.97,667080.9926709473
4036,5,1,2005,Partially,51.3,3.37,750,Excellent,5.21,6.59,54.0,Medium,8.84,9.03,796512.2784350157
4302,4,3,2010,Fully,72.45,5.3,2120,Excellent,17.62,4.99,135.0,High,14.6,1.77,799688.6885595109
4677,1,3,2004,Partially,85.03,3.86,8957,Average,25.94,7.46,80.0,Medium,11.21,9.07,906763.8858003088
2470,1,2,1984,None,67.35,7.22,521,Poor,34.61,2.26,87.0,Medium,3.28,5.41,574810.9604524759
4322,2,1,2008,Fully,92.04,4.36,2623,Average,5.39,8.44,192.0,Medium,2.51,6.73,822118.6045730298
3319,4,1,1988,None,77.3,8.58,2010,Good,43.77,1.64,68.0,Low,-4.23,3.7,769670.439130101
1402,2,3,2006,Partially,88.4,2.11,4352,Excellent,2.99,3.37,64.0,Low,8.14,6.81,654559.4658061404
864,3,1,2016,Fully,75.48,5.23,5275,Excellent,43.03,5.95,163.0,High,-0.55,1.24,396205.31135561323
4758,1,2,1983,Partially,85.07,6.94,7508,Excellent,2.35,7.39,137.0,Medium,8.67,4.34,897276.1480534755
3619,3,2,1990,Partially,53.84,2.18,3922,Poor,8.52,2.74,,Medium,10.2,6.66,743850.7127627087
3058,5,2,1971,Fully,87.64,3.73,8931,Good,40.22,9.49,58.0,Medium,12.6,2.77,764444.2526716456
2363,1,2,1976,None,75.1,4.62,8742,Average,43.15,7.09,54.0,High,5.97,7.05,551713.0214244114
615,3,2,1970,None,91.47,2.17,3507,Average,49.13,2.25,188.0,High,11.6,8.46,514769.23423639993
2884,5,3,1990,None,71.22,6.37,9167,Average,6.67,7.29,167.0,Medium,9.46,1.34,736516.0674054396
4435,3,2,1980,None,101.13,7.05,656,Poor,26.8,6.99,152.0,High,2.06,6.44,914819.0170501461
2990,5,2,1976,None,83.01,3.82,6842,Good,4.78,7.55,140.0,Medium,-2.87,6.23,775464.06862858
1442,5,3,1986,None,61.42,6.35,8098,Good,8.66,9.17,51.0,Medium,-0.16,8.04,489189.83737840044
2224,1,3,2015,Fully,91.92,9.99,5261,Average,9.55,7.15,197.0,High,11.89,7.28,650336.8984839752
2834,2,3,2003,Partially,59.13,9.1,2519,Good,4.11,3.58,70.0,Medium,5.69,5.09,606939.7385146276
3267,5,1,1958,Fully,58.29,2.47,5737,Good,44.76,7.93,100.0,Medium,8.31,4.19,714180.7884394706
1637,5,1,1991,Partially,94.33,3.02,8423,Good,7.19,6.99,50.0,Low,11.12,9.87,730707.0096780112
3027,1,2,1985,None,80.03,5.96,4670,Average,31.84,5.79,58.0,Low,8.34,5.52,646309.1390047509
4617,2,2,1959,Fully,76.09,3.96,5547,Excellent,31.66,3.6,162.0,High,12.12,4.67,842291.9428452986
3920,4,2,2008,Partially,67.44,2.65,2914,Poor,10.73,9.22,70.0,Medium,-3.27,9.94,724343.6029979687
4406,4,1,1989,Partially,87.48,4.04,2655,Excellent,49.92,5.18,129.0,Low,13.07,2.62,755980.2409519053
4137,2,2,2003,Fully,70.92,2.49,4257,Average,18.02,6.32,189.0,Medium,11.25,2.68,806993.640015308
3453,3,2,1988,Fully,78.02,6.24,592,Average,45.35,4.21,86.0,Medium,13.06,9.79,675877.323578138
2867,1,1,1956,Partially,58.09,5.92,6743,Good,47.47,7.83,140.0,High,9.62,6.92,535802.9905414874
4721,2,3,1953,Fully,74.13,2.05,9362,Good,47.5,3.48,120.0,Medium,0.49,5.68,800493.1346676748
776,4,1,1964,Partially,77.63,5.86,2643,Average,37.89,8.13,159.0,High,-2.72,1.61,378530.1758638188
2499,5,2,1997,Partially,83.01,6.16,8923,Average,13.44,1.17,153.0,Medium,-2.41,4.2,678928.719921818
1727,4,1,1955,Partially,80.07,6.85,6471,Average,6.91,7.12,158.0,High,4.98,4.9,569628.1845787517
4252,5,3,2022,Fully,70.0,9.76,2102,Excellent,28.92,4.82,53.0,High,2.82,5.6,721681.8128839756
4235,1,3,1984,Partially,79.27,9.86,3451,Excellent,18.64,7.02,189.0,Medium,8.08,4.93,845294.8920209961
1195,5,3,2021,Fully,89.71,6.22,1810,Excellent,41.72,5.36,116.0,Medium,5.07,4.94,531638.8399567241
1809,2,3,2020,None,52.74,8.76,8467,Excellent,37.5,1.43,53.0,Medium,-2.49,9.95,348263.7541302774
4652,5,3,2017,Partially,72.52,2.68,6746,Average,14.55,4.82,64.0,High,-4.96,9.77,973331.882819293
3734,3,3,2007,None,78.13,6.25,658,Good,1.83,9.65,86.0,Low,-2.43,1.78,873910.1750802941
4614,2,2,1968,None,61.17,7.43,4278,Average,12.63,7.57,186.0,High,-2.07,2.52,792672.4152003659
2811,1,2,2011,None,88.95,6.52,2086,Excellent,28.79,3.07,63.0,Medium,9.4,9.47,661696.8298198133
3341,2,1,2020,Partially,83.99,3.85,877,Good,4.87,9.45,172.0,Medium,0.71,3.87,719463.7962057753
4708,3,2,1959,Fully,89.97,2.5,3795,Average,33.26,7.81,160.0,Low,-3.13,6.5,872760.935789093
4059,1,3,1974,Partially,107.4,5.09,9405,Poor,33.91,3.71,175.0,Medium,10.11,8.18,875675.2646566472
3898,4,2,1993,Fully,79.95,7.18,9429,Poor,9.3,6.08,131.0,High,13.81,5.24,728041.655406716
1041,3,1,2007,None,70.75,9.93,3000,Average,30.22,4.32,99.0,High,-2.99,1.15,422833.004674262
3194,1,3,1974,Partially,89.08,3.89,2363,Average,30.74,1.06,127.0,High,14.26,8.45,696267.7657640687
1588,5,2,1989,None,66.18,9.34,8388,Poor,24.42,8.08,74.0,Medium,14.01,7.81,1060441.8057393667
3863,2,2,2019,None,81.96,2.55,991,Average,47.71,1.99,88.0,High,5.46,1.37,673548.4128946615
524,1,1,1959,Fully,90.55,9.45,8613,Poor,6.3,4.63,75.0,High,0.92,9.08,413509.7724666471
2072,2,3,2015,Partially,87.48,8.66,8001,Excellent,20.92,7.06,109.0,High,-2.24,8.71,615506.0550671085
3458,5,1,1974,Fully,96.11,2.17,7910,Poor,44.26,9.33,101.0,Medium,11.48,3.48,784573.020430176
4736,1,3,2020,Fully,70.9,4.39,8231,Good,19.93,0.72,119.0,Medium,7.09,1.72,812705.7447013189
2267,4,3,1960,Fully,85.64,2.41,1445,Excellent,21.81,3.99,97.0,Low,8.03,4.63,661437.885178974
2735,3,2,1985,None,76.39,9.96,9393,Good,33.75,6.19,103.0,Medium,12.22,8.87,667860.5853695637
700,1,1,1998,Partially,78.8,5.42,2984,Average,33.61,7.82,164.0,High,3.88,5.34,371215.8828550204
3698,5,1,1997,Partially,78.8,7.3,3255,Good,2.12,9.22,165.0,Medium,2.36,3.53,818853.6777986392
756,1,1,1956,Fully,83.08,3.87,8128,Poor,23.33,0.1,178.0,Medium,10.25,3.09,350777.1327786232
4247,2,3,2000,Partially,74.5,9.47,8317,Excellent,17.34,6.31,163.0,Medium,0.94,4.2,776294.4574123458
2741,1,1,1966,Partially,53.69,4.19,3533,Good,31.76,0.17,70.0,Medium,1.56,9.95,487920.4962183159
3675,4,3,1981,Partially,,4.08,889,Good,28.23,7.89,159.0,Low,2.62,8.91,1730458.1192392816
4106,1,1,1975,Fully,80.43,4.52,8334,Good,32.89,1.58,121.0,Medium,12.13,5.92,774262.5719908166
3836,3,1,1971,Partially,,5.7,9935,Average,33.03,8.96,67.0,Medium,10.58,8.28,715261.274943902
913,1,2,1962,Partially,81.53,2.15,3847,Average,13.49,1.64,64.0,Low,0.83,3.85,561617.9836068143
2514,2,1,1961,Fully,73.15,6.78,511,Excellent,13.08,7.67,91.0,Medium,-2.13,6.54,637080.0350639783
1881,1,2,2020,None,70.93,2.25,2120,Excellent,19.14,2.96,69.0,High,2.86,8.85,555826.3167155598
1598,4,2,1950,Fully,95.87,6.31,8740,Excellent,12.86,5.62,65.0,Low,7.49,4.31,724212.0401224113
3926,5,3,1982,Partially,108.86,5.66,6653,Average,34.46,6.12,184.0,Medium,8.52,8.2,985327.623352766
4155,1,1,1963,Fully,88.19,3.94,8678,Good,30.54,2.15,144.0,Medium,-0.99,6.53,776044.9871318823
1409,1,1,2013,Fully,66.38,4.64,8952,Good,11.6,3.06,142.0,Medium,-0.01,6.54,414017.48447972804
687,3,1,1992,None,78.38,7.65,9011,Good,44.32,1.16,130.0,High,13.6,1.37,383932.9133975318
4544,4,2,2007,None,77.25,2.08,2427,Average,23.57,0.15,182.0,Medium,2.7,9.09,878549.7200502985
4256,5,1,1990,Partially,85.06,4.53,7313,Excellent,7.23,2.47,195.0,Medium,1.28,7.99,809787.7510337678
2515,2,3,2017,None,77.82,7.44,3332,Excellent,11.44,5.21,127.0,High,8.91,1.33,571480.423630036
2592,1,3,1988,None,84.23,3.22,7478,Average,27.45,7.16,144.0,High,4.36,6.5,637486.4719818756
4144,5,1,1950,Partially,101.83,6.48,4616,Poor,17.58,7.96,195.0,High,-0.06,7.71,829684.0264516893
2630,2,2,1990,None,47.35,3.35,515,Average,42.71,0.79,113.0,High,3.19,8.16,406410.10602744995
857,4,3,1994,Partially,67.41,3.24,4366,Good,25.24,2.8,75.0,Low,-2.12,1.8,425613.9492862476
2922,4,3,1962,Partially,89.39,8.18,2845,Good,45.85,7.73,193.0,High,0.59,6.76,696127.1380093287
4757,5,2,2020,None,74.34,4.13,9632,Poor,5.99,4.86,126.0,Medium,3.37,3.1,952876.5838333347
1997,2,3,1958,Fully,83.89,5.01,8950,Good,33.76,1.9,107.0,High,5.36,5.06,631673.8327101894
2658,4,2,2012,None,72.15,7.84,1563,Good,44.4,3.98,145.0,Medium,9.83,5.74,604649.3201286778
3055,5,3,1972,Fully,98.4,3.44,775,Good,15.35,2.77,96.0,Low,2.7,1.25,905935.9945720085
2842,4,2,2003,None,92.42,6.25,3066,Poor,7.65,0.6,120.0,High,5.91,3.7,716173.0457098858
3451,4,3,1996,Partially,79.48,9.34,5422,Average,23.38,7.66,172.0,Medium,14.02,8.18,708659.6640622078
1738,4,1,1988,Partially,,6.43,2430,Average,48.11,2.99,95.0,High,11.37,8.58,569915.7678254938
1473,3,3,1975,Fully,79.64,2.39,4082,Good,32.04,9.46,57.0,High,-0.26,3.97,567233.9206322787
4465,2,3,1950,None,75.99,6.72,1831,Good,32.55,8.89,51.0,High,-0.73,4.98,2004728.4699166117
1550,5,1,1963,Fully,97.05,2.72,8566,Good,33.9,7.19,195.0,High,8.25,8.48,667048.5681097745
4201,5,1,2014,Partially,54.01,4.26,979,Good,2.95,3.33,85.0,Medium,6.91,2.81,814610.0519658026
3280,2,1,2018,Partially,77.52,8.8,5009,Average,22.84,2.87,137.0,Medium,5.94,7.58,754306.3416647083
2088,2,1,2016,Fully,80.3,2.09,3546,Good,4.8,4.81,168.0,Medium,-1.92,4.67,625817.0092383191
4378,2,2,1998,None,71.66,2.62,1988,Good,16.48,3.61,91.0,Low,2.25,9.88,825575.0890226726
2868,2,2,1999,Fully,,4.91,8652,Poor,41.26,9.02,151.0,High,10.19,6.42,601821.3003126354
936,1,3,2007,Partially,73.92,10.0,2592,Excellent,33.16,1.32,,Low,9.47,2.33,470279.09999881143
3328,5,3,2002,Partially,52.35,4.33,1329,Average,49.78,7.27,108.0,Medium,-1.7,2.55,547105.0342479738
2056,1,3,2006,Fully,98.3,3.26,8155,Average,9.44,6.15,98.0,Low,3.54,1.25,649882.8304289774
4358,4,2,1967,Fully,99.05,6.4,3200,Poor,20.46,8.08,153.0,Medium,3.85,7.43,881176.7883908185
1804,4,3,1965,None,76.1,6.15,8835,Average,40.67,5.47,177.0,Medium,5.17,4.99,535268.6807274544
2884,5,3,1951,None,,5.6,5430,Average,11.57,6.33,123.0,Medium,4.22,1.1,695861.0173097478
682,4,2,1962,Fully,52.84,9.57,3304,Good,8.53,9.63,79.0,High,5.03,1.91,389968.1728830625
2089,2,3,1994,Fully,65.19,4.24,8490,Good,21.95,1.01,77.0,High,11.26,3.6,613427.4960350739
2087,1,2,2021,None,97.24,4.35,6836,Poor,19.8,1.14,142.0,Medium,2.79,4.82,675847.9743838364
1159,2,2,1992,Fully,75.12,3.12,9475,Excellent,49.03,4.0,76.0,Medium,6.04,9.45,467153.47999226284
659,4,1,2021,Partially,67.29,7.58,6516,Average,23.36,4.78,176.0,Medium,7.14,5.87,371958.97651221184
4453,1,1,2003,Partially,75.7,4.57,4773,Good,43.19,2.08,147.0,High,13.85,9.05,709510.166404231
1511,2,2,1980,Fully,66.91,8.42,6961,Excellent,44.51,0.92,101.0,Medium,8.09,3.25,480898.5729112243
552,5,2,1958,Partially,51.35,9.77,8058,Good,8.74,0.32,93.0,High,-2.39,3.99,421945.05844689335
2807,2,1,2022,None,70.4,2.35,2698,Excellent,36.05,7.67,181.0,Medium,6.65,8.93,417516.900530807
1728,4,3,1997,Partially,59.32,9.94,9302,Poor,14.6,4.9,97.0,High,8.24,5.42,600857.6576753864
1535,1,3,1967,None,81.42,4.03,9232,Average,5.64,8.45,147.0,Low,-4.81,6.31,472172.5879174441
4202,5,3,1960,Partially,88.92,5.36,7875,Good,43.86,3.67,65.0,High,-3.49,6.17,837817.0602700105
4545,1,2,2011,Partially,64.32,8.22,8389,Average,15.33,7.06,96.0,Low,-4.62,6.81,796090.7320009903
4949,5,1,1968,Fully,77.92,7.32,912,Good,17.92,4.94,159.0,High,-4.03,6.3,861755.1569931207
1764,1,3,1973,None,74.77,8.23,7756,Average,16.88,6.16,124.0,High,-3.21,7.25,506539.6656912673
2384,4,1,1962,Partially,63.95,5.73,6368,,10.81,3.76,64.0,High,14.16,2.33,547474.2075286608
2309,5,1,1995,Fully,40.84,9.33,5877,Good,22.29,0.9,151.0,High,-0.87,7.4,490487.1251691165
3667,3,2,2002,None,59.63,8.32,6227,Good,21.99,9.48,143.0,Low,-0.91,2.36,665154.7706002728
4297,1,3,1978,None,63.36,4.47,1927,Average,21.03,8.38,193.0,Medium,12.15,4.06,744172.773638626
2841,1,1,1985,None,77.15,9.59,4010,Poor,45.9,3.19,178.0,Medium,10.06,8.48,583283.0219403048
3914,2,2,2020,Fully,78.65,9.69,2137,Average,17.65,9.59,113.0,High,8.52,6.47,734362.4551065865
1317,5,2,1966,None,93.62,5.32,5076,Average,2.49,3.07,141.0,High,3.43,9.7,680983.0468088287
2937,3,2,1997,Partially,59.5,7.22,8871,Average,9.74,4.49,92.0,Medium,-4.38,3.27,578380.8538065867
1388,4,3,1973,None,62.7,8.52,3896,Good,36.35,7.58,63.0,Medium,11.53,9.29,416660.436894525
1167,2,3,2003,None,65.33,8.54,5177,Average,29.95,3.16,117.0,Medium,12.22,6.78,414158.5688062955
3124,3,2,1950,None,72.14,2.11,6025,Good,47.64,3.31,,Medium,4.64,4.32,686094.653109365
4732,5,3,2016,None,78.29,7.03,7622,Good,35.03,4.16,192.0,Low,7.9,8.08,903877.5390651784
1318,3,3,1955,Fully,81.45,9.79,2142,Average,10.52,4.74,194.0,High,4.55,9.59,502909.8700469556
2688,1,1,2004,None,46.77,3.85,1794,Excellent,6.91,1.32,141.0,Low,0.92,8.02,460800.61861303635
1606,1,2,1987,Fully,92.92,8.36,4036,Good,26.52,0.27,187.0,High,5.81,1.06,535574.2094247176
2724,2,2,1982,None,82.04,6.27,8287,Average,33.6,9.2,66.0,High,8.77,1.09,640971.0116426465
697,5,3,1957,None,88.24,3.77,9055,Good,9.12,3.6,185.0,Medium,-1.91,2.14,536240.1167013487
3171,5,2,1969,Fully,39.17,2.41,2616,,30.48,1.11,51.0,High,5.61,8.66,676241.2053740113
3992,3,2,2004,Partially,87.48,8.08,3061,Poor,43.39,7.62,114.0,Medium,10.52,7.75,744544.4647214044
2948,2,2,1997,None,60.07,4.53,6539,Good,36.65,3.02,168.0,High,4.51,6.76,664444.80619998
970,5,3,2005,Fully,68.24,5.0,7900,Good,33.55,1.9,148.0,Low,-1.86,7.25,439448.0995139997
2448,1,3,1959,Fully,96.51,5.88,8368,Average,39.68,9.63,156.0,High,12.39,6.58,704646.9860113258
4399,3,3,2001,Fully,84.86,6.06,6765,Good,6.1,9.21,166.0,Low,8.48,4.13,930724.2457664569
2510,4,1,1999,Fully,,3.65,3042,Excellent,10.99,1.15,58.0,Medium,7.65,7.48,684664.2481292617
4300,1,2,1983,Partially,86.94,7.37,7220,Average,2.87,9.0,191.0,High,8.03,9.42,961939.6367451882
4618,2,1,1985,Partially,80.41,7.54,4520,Average,8.1,8.92,123.0,High,-0.1,7.75,867645.5613405777
4296,5,3,2010,Fully,68.89,3.14,1383,Good,45.75,6.38,71.0,High,4.85,8.81,769283.1910390408
4488,1,1,1965,None,82.14,6.26,1672,Average,11.89,5.34,65.0,Medium,1.52,3.13,764241.6198309807
734,4,2,1967,Partially,69.33,6.87,7538,Average,33.44,2.25,143.0,Low,11.67,4.14,387311.6700178125
1428,4,2,2020,Partially,80.8,3.49,6095,Good,34.89,1.3,135.0,High,6.78,5.57,573291.0016633252
4107,2,3,1996,Fully,80.61,9.16,5174,Average,32.62,6.1,81.0,High,9.35,5.24,851712.7742273238
